"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SZ","301086","鸿富瀚","","301086.SZ","SZ301086","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=682385681; last_amount=448140385"
"SZ","300007","汉威科技","","300007.SZ","SZ300007","sz","","I65软件和信息技术服务业; avg20_amount=676233852; last_amount=969570741"
"SZ","300773","拉卡拉","","300773.SZ","SZ300773","sz","","I65软件和信息技术服务业; avg20_amount=668793151; last_amount=588507793"
"SH","600050","中国联通","","600050.SS","SH600050","sh","","I63电信、广播电视和卫星传输服务; avg20_amount=660798366; last_amount=609852688"
"SZ","301379","天山电子","","301379.SZ","SZ301379","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=651316093; last_amount=700768124"
"SZ","301382","蜂助手","","301382.SZ","SZ301382","sz","","I64互联网和相关服务; avg20_amount=650673328; last_amount=1091909300"
"SZ","301348","蓝箭电子","","301348.SZ","SZ301348","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=650156929; last_amount=584757597"
"SZ","301031","中熔电气","","301031.SZ","SZ301031","sz","","C38电气机械和器材制造业; avg20_amount=649755977; last_amount=620679832"
"SZ","300151","昌红科技","","300151.SZ","SZ300151","sz","","C35专用设备制造业; avg20_amount=631035611; last_amount=903459685"
"SZ","300976","达瑞电子","","300976.SZ","SZ300976","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=629461847; last_amount=591719286"
"SH","600520","三佳科技","","600520.SS","SH600520","sh","","C35专用设备制造业; avg20_amount=624798839; last_amount=922115552"
"SZ","301696","三瑞智能","","301696.SZ","SZ301696","sz","","C38电气机械和器材制造业; avg20_amount=621504312; last_amount=1630192479"
"SZ","300842","帝科股份","","300842.SZ","SZ300842","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=614636349; last_amount=739353710"
"SZ","300397","天和防务","","300397.SZ","SZ300397","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=602825572; last_amount=546788301"
"SH","600198","大唐电信","","600198.SS","SH600198","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=599413626; last_amount=580958914"
"SZ","301248","杰创智能","","301248.SZ","SZ301248","sz","","I65软件和信息技术服务业; avg20_amount=598883005; last_amount=711422149"
"SZ","300219","鸿利智汇","","300219.SZ","SZ300219","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=590742311; last_amount=607869379"
"SZ","301531","春光集团","","301531.SZ","SZ301531","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=590726749; last_amount=458334216"
"SZ","300468","四方精创","","300468.SZ","SZ300468","sz","","I65软件和信息技术服务业; avg20_amount=586076314; last_amount=470714708"
